  iter |       grad |      value |  vector
    70 |  2.496e+01 |  4.871e+04 |  [     16.433      16.305       9.672      24.361      11.831      72.406      18.223      35.214      59.537      14.028      49.496     -14.737      64.673      -1.259      64.118     -93.399     -93.390      -1.279      48.988     -93.495      -2.973     -79.167     -47.485     -33.333     -46.249      -5.595      -0.577      12.982       0.338     -12.746]
    71 |  2.480e+01 |  4.865e+04 |  [     16.018      15.889       9.681      23.251      11.386      72.108      17.856      35.219      59.444      14.066      49.400     -14.848      64.238      -1.256      64.235     -92.526     -92.516      -1.276      48.754     -92.659      -2.932     -78.428     -47.584     -33.381     -46.337      -5.637      -0.711      13.009       0.338     -12.985]
    72 |  2.517e+01 |  4.860e+04 |  [     15.624      15.493       9.690      22.288      10.960      71.848      17.504      35.231      59.368      14.107      49.314     -14.958      63.857      -1.253      64.344     -91.572     -91.563      -1.273      48.546     -91.739      -2.881     -77.621     -47.665     -33.411     -46.410      -5.663      -0.831      13.045       0.339     -13.195]
    73 |  2.601e+01 |  4.854e+04 |  [     15.246      15.114       9.700      21.458      10.549      71.621      17.166      35.249      59.306      14.149      49.239     -15.068      63.524      -1.248      64.446     -90.546     -90.535      -1.270      48.365     -90.743      -2.823     -76.752     -47.730     -33.427     -46.472      -5.674      -0.937      13.089       0.342     -13.379]
    74 |  2.720e+01 |  4.847e+04 |  [     14.880      14.747       9.710      20.745      10.152      71.424      16.837      35.271      59.256      14.192      49.173     -15.175      63.235      -1.242      64.539     -89.452     -89.441      -1.268      48.209     -89.678      -2.760     -75.826     -47.782     -33.432     -46.524      -5.674      -1.032      13.139       0.346     -13.537]
    75 |  2.868e+01 |  4.841e+04 |  [     14.525      14.389       9.721      20.132       9.764      71.253      16.514      35.295      59.217      14.235      49.116     -15.281      62.983      -1.235      64.624     -88.297     -88.286      -1.266      48.076     -88.550      -2.693     -74.849     -47.822     -33.427     -46.567      -5.666      -1.118      13.193       0.352     -13.673]
    76 |  3.036e+01 |  4.833e+04 |  [     14.175      14.038       9.733      19.606       9.383      71.104      16.196      35.322      59.186      14.277      49.065     -15.384      62.763      -1.226      64.702     -87.085     -87.073      -1.265      47.964     -87.366      -2.624     -73.823     -47.853     -33.415     -46.603      -5.650      -1.197      13.250       0.359     -13.790]
    77 |  3.219e+01 |  4.825e+04 |  [     13.829      13.690       9.746      19.151       9.007      70.975      15.880      35.350      59.162      14.319      49.020     -15.484      62.571      -1.215      64.773     -85.820     -85.808      -1.266      47.869     -86.128      -2.555     -72.752     -47.877     -33.397     -46.633      -5.629      -1.268      13.309       0.367     -13.890]
    78 |  3.413e+01 |  4.816e+04 |  [     13.484      13.343       9.760      18.757       8.635      70.860      15.563      35.378      59.143      14.360      48.980     -15.580      62.402      -1.202      64.837     -84.504     -84.492      -1.268      47.790     -84.840      -2.485     -71.639     -47.894     -33.375     -46.658      -5.604      -1.335      13.369       0.377     -13.976]
    79 |  3.615e+01 |  4.807e+04 |  [     13.140      12.996       9.775      18.414       8.264      70.759      15.246      35.407      59.129      14.399      48.945     -15.672      62.252      -1.186      64.896     -83.141     -83.128      -1.271      47.724     -83.506      -2.416     -70.485     -47.906     -33.349     -46.678      -5.576      -1.398      13.428       0.388     -14.049]
